,疾病名称,简介,挂号的科室
90,泪腺多形性腺瘤,泪腺多形性腺瘤(pleomorphic adenoma of the lacrimal gland)又称为泪腺混合瘤，是一种泪腺的上皮性肿瘤。其起源于有多向性分化潜能的上皮细胞，其间质成分为上皮化生的产物。本病是泪腺肿瘤中最多见的上皮性肿瘤，发病率约占泪腺上皮性肿瘤的49%～58%，泪腺窝肿瘤的25%，眼眶占位性病变...,眼科 肿瘤科
91,副肿瘤性斜视性眼肌阵挛-肌阵挛,副肿瘤性斜视性眼肌阵挛-肌阵挛(paraneoplasic opsoclonus-myoclnia，POM)是表现为与注视方向无关的双眼杂乱无章、无节律、快速多变的眼球异常运动综合征，常与肌阵挛合并存在。眼肌阵挛(opsoclonus)源于波兰文，是眼球跳舞之意。副肿瘤性斜视性眼肌阵挛-肌阵挛(POM)累及周围神经的包括...,眼科
92,革兰阳性球菌和革兰阴性杆菌性巩膜炎,感染性巩膜炎(infectious scleritis)巩膜组织受病原体感染引起的炎症。这种炎症可能由病原体直接侵犯引起，也可能因病原体产生的过敏反应引起。感染性巩膜炎的感染途径可分为外源性和内源性2种。外源性感染一般由外伤、手术或巩膜邻近组织的感染灶等直接引起。内源性感染可由全身感染性...,眼科 传染科
93,结节性多动脉炎性巩膜炎,结节性多动脉炎(PAN)最早在1866年由Kussmaul和Maier报道，是以累及多系统中小血管为特征的一种坏死性血管炎。病损呈节段性，好发于血管分叉处，可侵及毗邻的静脉，偶可累及血管远端的动脉或微静脉。PAN可侵及任何器官，但以皮肤、关节、末梢神经、胃肠道、肾最易发病。如不治疗，预后极...,眼科 风湿科
94,后天性视网膜劈裂,本病或称老年性视网膜劈裂症（senile retinoschisis），但在20岁以后青年人中也有发生，所以老年性这一名称并不确切。本病在在40岁以上人群中属多发病。但我国和日本文献中很少报导。可能有种族方面的不同。80％以上为双眼发病，而且双眼对称，性别无差异。常因有闪光幻觉或飞蚊症等症状...,眼科
95,小儿视神经胶质瘤,视神经胶质瘤(optic glioma)的发病率相对较低，以儿童较为多见。大约1/3的肿瘤仅局限于一侧视神经，而2/3的患者联合有视交叉、下丘脑、三脑室底及视束的侵犯。,肿瘤科
96,中毒性白内障,很多物质可以使实验动物发生白内障已得到公认。在人类，局部或全身用药以及毒性物质诱发产生白内障，临床已有诸多报道，并引起人们的重视。许多药物和化学物质都可以引起白内障，与眼科临床有直接关联的中毒性白内障(toxic cataract)主要由一些药物引起。,眼科
97,继发于无晶状体眼和人工晶状体眼的青光眼,白内障手术后继发青光眼的发生率随着手术年代的变迁文献报道有很大的差异，与眼显微手术技术的改进有关。一般来说，白内障手术后的眼压升高和青光眼的发生在超声乳化手术要比囊外摘除手术少，囊外摘除手术要比囊内摘除手术的少，人工晶状体囊袋内植入要比睫状沟植入的少，后房型人工晶状...,眼科
98,脑膜炎,脑膜炎是一种娇嫩的脑膜或脑脊膜(头骨与大脑之间的一层膜)被感染的疾病。此病通常伴有细菌或病毒感染身体任何一部分的并发症，比如耳部、窦或上呼吸道感染。,脑外科 传染科
99,病毒性脑炎,病毒性脑炎(viral encephalitis)和病毒性脑膜炎(virus meningitis)均是指多种病毒引起的颅内急性炎症。由于病原体致病性能和宿主反应过程的差异，形成不同类型疾病。若炎症过程主要在脑膜，临床重点表现为病毒性脑膜炎。主要累及大脑实质时，则以病毒性脑炎为临床特征。大多患者具有病程...,神经内科
100,脑积水,脑积水是脑脊液生成或循环吸收过程发生障碍而致脑脊液量过多，压力增高，扩大了正常脑脊液所占有的空间，从而继发颅压增高、脑室扩大的总称。,脑外科 针灸科
101,紧张性头痛,紧张性头痛又称为肌收缩性头痛，是最常见的一种头痛类型，一般认为其患病率高于偏头痛，约占门诊头痛患者的半数。主要为颈部和头面部肌肉持续性收缩而产生的头部压迫感、沉重感，有的病人自诉为头部有“紧箍”感。,神经内科 针灸科
102,口吃,口吃多发生于儿童，50%的口吃患者于5岁前发病，而1～3岁的小儿在情绪紧张时出现一时性的口吃是比较多见的。一般随着年龄的增长逐渐改善或消失，少数可持续至成年。,儿科 心理咨询
103,丛集性头痛,丛集性头痛(cluster headache，CH)以往又称组织胺性头痛、睫状神经痛、蝶腭神经痛、偏头痛性神经痛、Horton综合征。是一种多见于中年男性的、周期性丛集性发作的、部位固定于一侧眼眶及其周围的头痛。,神经内科 内科
104,发作性睡病,本病是以不可抗拒的短期睡眠发作为特点的一种疾病，是一种病因不清的综合征，其特点是伴有异常的睡眠倾向，包括白天过度嗜睡，夜间睡眠不安和病理性REM睡眠。多于儿童或青年期起病，男女发病率相似。部分病人可有脑炎或颅脑外伤史。其发病机制尚未清楚，可能与脑干网状结构上行激活系统...,精神病科
105,新生儿颅内出血,新生儿颅内出血(intracraninal hemorrhage of newborn)是新生儿常见的严重疾病，是常见的一种脑损伤，系由产伤和缺氧引起，也是造成围生新生儿死亡的主要原因之一。　　部位包括硬膜下出血、蛛网膜下腔出血、脑室周围室管膜下-脑室内出血、小脑出血和脑实质出血。　　以前以室管膜下-脑...,儿科 脑外科
106,表皮囊肿,表皮囊肿由Critchey于1928年正式命名。它与中耳胆脂瘤不同，不是由于反复炎症所致上皮脱落形成，而是先天异位发生的。如果异位组织发生在胚胎早期(即神经沟封闭时)，则囊肿多位于中线部；如发生在晚期(第二脑泡形成期)，则囊肿多位于侧方。少数表皮样囊肿可为外伤造成，如通过实验性损伤...,脑外科 肿瘤科
107,老年人椎基底动脉供血不足,椎基底动脉供血不足(vertebrobasilar ischemia，VBI)指由颈椎病，脑动脉粥样硬化，高血压或低血压等引起的以眩晕、头昏、旋转感、伴恶心、呕吐为主的综合征，是中老年人一种常见的脑血管疾病。,老年科 心血管内科
108,外伤性癫痫,外伤性癫痫是指继发于颅脑损伤后的癫痫性发作，多见于年轻成年男性，具有癫痫家族史者更易发生，可发生在伤后的任何时间，甚难预料，早者于伤后即刻出现，晚者可在头伤痊愈后多年始突然发作。不过，并非所有的脑外伤病人都并发癫痫，按初次癫痫发作的时间可分为早期、中期、晚期癫痫。,神经内科 脑外科
109,头外伤,头皮裂伤多由锐器或钝器致伤。裂口大小，深度不一，创缘整齐或不整齐，有时伴有皮肤挫伤或缺损，由于头皮血管丰富，血管破裂后不易自行闭合，即使伤口小出血也较严重，甚至因此发生休克。,外伤科 急诊科
110,髓母细胞瘤,髓母细胞瘤(medulloblastoma)由Bailey与Cushing于1925年首先报道，是好发于儿童的颅内恶性肿瘤，是中枢神经系统恶性程度最高的神经上皮性肿瘤之一。有人认为其发生是由于原始髓样上皮未继续分化的结果。这种起源于胚胎残余细胞的肿瘤可发生在脑组织的任何部位，但绝大多数生长在第四脑室...,肿瘤科 脑外科
111,慢性酒精中毒,慢性酒中毒一般而言，系指酒依赖及慢性酒中毒综合征。酒精滥用(alcoholic abuse)属于行为障碍，是逃避不能承受的压力和责任的一种方法。酒依赖(alcoholic dependence)则是生物医学概念，是长期过量饮酒引起的特殊心理状态，属于慢性酒中毒。　　慢性酒中毒(chronic alcoholism)是长期(数...,内科
112,痴呆综合征,痴呆综合征(dementia syndrome) 是慢性全面性的精神功能紊乱，以缓慢出现的智能减退为主要临床特征，包括记忆、思维、理解、判断、计算等功能的减退和不同程度的人格改变，而没有意识障碍。多见于起病缓慢，病程较长的脑器质性疾病，故又称为慢性脑病综合征(chronic brain syndrome)。,神经内科 老年科
113,颅内动脉瘤,颅内动脉瘤是指脑动脉内腔的局限性异常扩大造成动脉壁的一种瘤状突出。颅内动脉瘤多因脑动脉管壁局部的先天性缺陷和腔内压力增高的基础上引起囊性膨出，是造成蛛网膜下腔出血的首位病因。过去人们称之为先天性脑动脉瘤，事实上先天性脑动脉瘤占脑动脉瘤的70%～80%。,肿瘤科 脑外科
114,老年人神经梅毒,神经梅毒(neurosyphilis)是由梅毒螺旋体感染所引起的疾病。本病在我国新中国成立后曾经几乎消灭。近年来，全身梅毒的发病率迅速上升，因此神经梅毒的重现和增多应有充分准备。,性病科 老年科
115,记忆障碍,记忆是人脑对过去经历和发生过的事物的重现，包括铭记、保持、回忆与认知（再现）的过程。在这个过程中对事物进行分类、概括、对比、联系等加工。因此，回忆是人脑对以往经历事物经加工后的再现，故有部分或完全性失真或错误。　　临床工作中可按回忆时间的长短将记忆分为以下3种：①即...,精神心理科 精神病科
116,巨人症,系腺垂体分泌生长激素（GH）过多所致。青少年因骨骺未闭形成巨人症；青春期后骨骺已融合则形成肢端肥大症；少数青春期起病至成年后继续发展形成肢端肥大性巨人症。本病早期（形成期），体格、内脏普遍性肥大，垂体前叶功能亢进；晚期（衰退期），体力衰退，出现继发性垂体前叶功能减退。,内分泌科
117,高催乳素血症,高催乳素血症(hyperprolactimia)是最常见的腺垂体疾病，该病以溢乳和性腺功能减退为突出表现。如病人同时出现溢乳和闭经，称为溢乳-闭经综合征，如发生于产后即所谓Chiari-Fromeel综合征;伴有垂体肿瘤者，即Forbes-Albright综合征;非产后又不伴有垂体肿瘤者则称del Castillo综合征。上述...,妇科
118,泌乳素瘤,泌乳素瘤是最常见的垂体瘤，由垂体泌乳素细胞瘤分泌过量泌乳素(PRL)引起的内分泌疾病，临床以高泌乳素血症、溢乳症或溢乳-闭经综合征为主要表现。多见于20～30岁的女性，男性少见。,肿瘤科 内分泌科
119,弓形体病,弓形体病(toxoplasmosis)又称弓形虫病是由肉孢子虫科弓形虫属的龚地弓形虫引起的人畜共患性原虫病。本病为全身性疾病，呈世界性分布，人群普遍易感，但多为隐性感染，发病者由于弓形体寄生部位及机体反应性的不同，临床表现较复杂，有一定病死率及致先天性缺陷率，近年确认本病为艾滋病...,传染科 呼吸内科
120,症状性癫痫,症状性癫痫综合征系指有明确病因的癫痫。胚胎形成以后，因种种原因导致脑结构性变化或代谢性异常形成癫痫病灶。故可以是局限性或弥漫性的，也可以是静止的或进行性的。　　其特点是：临床上除各种类型的癫痫发作外，尚有原发病的各种不同症状。因而临床上常称这类癫痫为继发性癫痫或获得...,神经内科
121,儿童期精神障碍及精神发育迟缓,儿童期精神障碍是指多发于或仅发生于儿童期的精神障碍，前面各节所述的精神障碍则多发于成年期，但有少数亦可发病于儿童期。儿童期通常是指12～14岁以内，但本章则包括18岁以内，18岁以上称为成人。ICD-10列出的多发于儿童期的精神障碍有十多种，本章将叙述三种。,儿科 精神心理科
122,颅内海绵状血管瘤,海绵状血管瘤是指由众多薄壁血管组成的海绵状异常血管团，这些畸形血管紧密相贴，血管间没有或极少有脑实质组织。它们并非真性肿瘤，按组织学分类属于脑血管畸形。,脑外科
123,老年人帕金森病,帕金森病(Parkinson’s disease，PD)又名震颤麻痹(Paralysis agitans，Shaking palsy)，由英国学者James Parkinson(1817)首先描述，是一种常见的中老年人神经系统变性疾病。主要病变在黑质和纹状体。震颤、肌强直及运动减少是本病的主要临床特征。,神经内科 老年科
124,阴沟肠杆菌感染,阴沟肠杆菌(Enterobacter cloacae)广泛存在于自然界中，在人和动物的粪便、水、泥土、植物中均可检出，是肠道正常菌种之一，但可作为条件致病菌。随着头孢菌素的广泛使用，阴沟肠杆菌已成为医院感染越来越重要的病原菌，其引起的细菌感染性疾病，常累及多个器官系统，包括皮肤软组织感染...,呼吸内科 消化内科
